consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments
50773493,200090346,CUIDADO PERSONAL,ESIKA,20,12-07-2023,15,335.51,430.195,530,0.245614035,0.712347354,2243.26,93,83,Constantes 1
50941108,200110088,CUIDADO PERSONAL,LBEL,15.9,21-07-2023,11,201.36,430.195,521,0.175438596,0.700135685,1802.35,85,75,Inconstantes
50445577,200103025,CUIDADO PERSONAL,ESIKA,24,10-07-2023,22,412.3,430.195,532,0.368421053,0.715061058,2256.55,104,89,Constantes 2
47499070,200108807,CUIDADO PERSONAL,ESIKA,4.99,10-07-2023,28,501.6,430.195,532,0.473684211,0.715061058,10074.13,449,279,Nuevas
50513580,200095153,CUIDADO PERSONAL,ESIKA,5.1,13-07-2023,14,171.3,430.195,529,0.228070175,0.710990502,1088.67,52,45,Constantes 1
50773094,200108044,TRATAMIENTO CORPORAL,ESIKA,20.64,26-06-2023,19,523,430.195,546,0.315789474,0.734056988,2235.62,96,90,Constantes 2
40307516,200103025,CUIDADO PERSONAL,ESIKA,26.5,10-07-2023,10,221.55,430.195,532,0.157894737,0.715061058,1827.1,74,59,Constantes 2
49877986,200103961,TRATAMIENTO CORPORAL,LBEL,24,10-07-2023,17,315.04,430.195,532,0.280701754,0.715061058,4341.39,181,149,Constantes 2
44045680,210100408,CUIDADO PERSONAL,CYZONE,15.98,21-07-2023,10,350.36,430.195,521,0.157894737,0.700135685,4409.45,131,103,Nuevas
50941108,200095162,CUIDADO PERSONAL,ESIKA,5.1,21-07-2023,11,201.36,430.195,521,0.175438596,0.700135685,1802.35,85,75,Inconstantes
50513580,200095465,CUIDADO PERSONAL,ESIKA,5.1,13-07-2023,14,171.3,430.195,529,0.228070175,0.710990502,1088.67,52,45,Constantes 1
36949902,210092742,MAQUILLAJE,ESIKA,26.9,26-04-2023,11,424.2,430.195,607,0.175438596,0.816824966,3459.6,116,102,Constantes 2
50445577,210103622,BIJOUTERIE,ESIKA,39.9,29-04-2023,16,424.95,430.195,604,0.263157895,0.81275441,2256.55,104,89,Constantes 2
41317310,200082652,CUIDADO PERSONAL,ESIKA,29.9,31-01-2023,18,397.06,430.195,692,0.298245614,0.932157395,6238.5,260,177,Inconstantes
44109905,200102282,MAQUILLAJE,ESIKA,19.9,23-02-2023,12,353.8,430.195,669,0.192982456,0.900949796,4548.33,159,125,Constantes 3
45494314,200107337,TRATAMIENTO FACIAL,CYZONE,28.45,24-02-2023,13,351.7,430.195,668,0.210526316,0.899592944,6437.58,204,165,Constantes 3
33905173,200095663,CUIDADO PERSONAL,CYZONE,11.9,21-02-2023,22,652.1,430.195,671,0.368421053,0.903663501,7659.24,280,220,Constantes 2
50172864,200095663,CUIDADO PERSONAL,CYZONE,7.9,14-03-2023,13,360.8,430.195,650,0.210526316,0.875169607,2325.6,94,88,Constantes 2
45697525,200101080,TRATAMIENTO FACIAL,ESIKA,9.9,10-05-2023,9,235.75,430.195,593,0.140350877,0.797829037,2614.95,119,87,Nuevas
34191115,200036215,ACCESORIOS COSMETICOS,ESIKA,14.9,03-01-2023,17,378.4,430.195,720,0.280701754,0.970149254,1825.76,74,60,Nuevas
45697525,210090420,RELOJES,ESIKA,59.9,29-03-2023,12,404.2,430.195,635,0.192982456,0.854816825,2614.95,119,87,Nuevas
12221789,210102484,PROMOCION USUARIOS,LBEL,29.9,14-04-2023,23,465.26,430.195,619,0.385964912,0.833107191,6434.14,218,166,Constantes 2
49401760,200105208,TRATAMIENTO CORPORAL,LBEL,13.16,29-04-2023,14,388.9,430.195,604,0.228070175,0.81275441,4609.07,191,155,Constantes 3
50507157,200105655,CUIDADO PERSONAL,ESIKA,24.9,26-04-2023,13,426.9,430.195,607,0.210526316,0.816824966,5865.44,225,170,Constantes 2
49561199,200095177,CUIDADO PERSONAL,ESIKA,4.95,22-12-2022,17,508.29,430.195,732,0.280701754,0.986431479,710.79,24,24,Constantes 2
50545385,210102699,COMPLEMENTOS,CYZONE,86.9,15-09-2023,1,86.9,430.195,465,0,0.624151967,4815.47,173,147,Constantes 3
47412552,200072913,FRAGANCIAS,ESIKA,25.9,15-09-2023,24,570.65,430.195,465,0.403508772,0.624151967,6237.55,253,170,Constantes 2
50860264,210104251,COMPLEMENTOS,CYZONE,19.9,15-09-2023,12,391,430.195,465,0.192982456,0.624151967,2342.3,77,62,Constantes 1
50967689,200105017,FRAGANCIAS,CYZONE,21.9,15-09-2023,20,456.7,430.195,465,0.333333333,0.624151967,2714.88,98,80,Constantes 2
49961014,200112355,CUIDADO PERSONAL,ESIKA,29.95,15-09-2023,8,212.5,430.195,465,0.122807018,0.624151967,7645.06,353,236,Constantes 3
46289234,200111319,FRAGANCIAS,LBEL,39.9,15-09-2023,9,433.1,430.195,465,0.140350877,0.624151967,2984.3,67,62,Nuevas
