consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products
47687314,210104319,MAQUILLAJE,CYZONE,17.9,2024-07-23,11,351.0,430.195,150,0.17543859649122806,0.20081411126187246,4060.2799999999997,123,103
23240475,210102004,COMPLEMENTOS,CYZONE,49.9,2024-07-23,7,291.3,430.195,150,0.10526315789473684,0.20081411126187246,4480.2,132,126
52222087,200115940,MAQUILLAJE,CYZONE,16.9,2024-07-23,13,447.9,430.195,150,0.21052631578947367,0.20081411126187246,4784.45,168,127
45325695,200106448,MAQUILLAJE,ESIKA,19.9,2024-07-23,10,324.23,430.195,150,0.15789473684210525,0.20081411126187246,10254.43,429,274
52235367,200108409,FRAGANCIAS,ESIKA,49.9,2024-07-23,14,460.8,430.195,150,0.22807017543859648,0.20081411126187246,3516.1,80,63
39592525,210105999,BIJOUTERIE,CYZONE,21.45,2024-07-23,14,272.8,430.195,150,0.22807017543859648,0.20081411126187246,5143.91,248,162
45325695,200113781,FRAGANCIAS,CYZONE,14.98,2024-07-23,10,324.23,430.195,150,0.15789473684210525,0.20081411126187246,10254.43,429,274
47687314,200117468,MAQUILLAJE,ESIKA,13.9,2024-07-23,11,351.0,430.195,150,0.17543859649122806,0.20081411126187246,4060.2799999999997,123,103
52222087,200108409,FRAGANCIAS,ESIKA,30.14,2024-07-23,13,447.9,430.195,150,0.21052631578947367,0.20081411126187246,4784.45,168,127
51890019,200116108,TRATAMIENTO FACIAL,ESIKA,24.9,2024-07-23,13,383.8,430.195,150,0.21052631578947367,0.20081411126187246,4085.89,141,120
51940229,200101369,FRAGANCIAS,LBEL,26.0,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
51940229,210105416,BIJOUTERIE,CYZONE,29.9,2024-07-24,31,1197.1,430.195,149,0.5263157894736842,0.1994572591587517,7345.23,242,192
